album,track_number,name,uri,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature,popularity,album_order,plays,relative plays per album,F1,release_date,id
folklore,9,this is me trying,spotify:track:7kt9e9LFSpN1zQtYEl19o1,195097,0.314,0.515,0.476,4.74e-05,0.171,-9.843,0.0328,135.886,0.412,9,4,70,7,96242789,4.850089191,268,7/24/2020,7kt9e9LFSpN1zQtYEl19o1
folklore,10,illicit affairs,spotify:track:2NmsngXHeC1GQ9wWrzhOMf,190898,0.881,0.559,0.31,0,0.106,-10.445,0.0338,119.845,0.46,10,4,70,7,95038151,4.789382287,269,7/24/2020,2NmsngXHeC1GQ9wWrzhOMf
folklore,11,invisible string,spotify:track:6VsvKPJ4xjVNKpI8VVZ3SV,252880,0.838,0.653,0.452,7.73e-05,0.108,-11.143,0.055,83.433,0.45,4,4,71,7,107564779,5.420653094,270,7/24/2020,6VsvKPJ4xjVNKpI8VVZ3SV
folklore,12,mad woman,spotify:track:2QDyYdZyhlP2fp79KZX8Bi,237258,0.655,0.592,0.699,1.68e-05,0.114,-8.995,0.0471,141.916,0.506,3,4,67,7,77593116,3.910251741,271,7/24/2020,2QDyYdZyhlP2fp79KZX8Bi
folklore,13,epiphany,spotify:track:08fa9LFcFBTcilB3iq2e2A,289749,0.731,0.354,0.267,0.000402,0.0858,-13.69,0.0281,94.219,0.113,1,4,67,7,70963682,3.576165972,272,7/24/2020,08fa9LFcFBTcilB3iq2e2A
folklore,14,betty,spotify:track:5kI4eCXXzyuIUXjQra0Cxi,294521,0.6,0.593,0.377,0,0.0976,-8.761,0.0253,95.939,0.502,0,4,72,7,109615752,5.524010468,273,7/24/2020,5kI4eCXXzyuIUXjQra0Cxi
folklore,15,peace,spotify:track:7MbT4I8qGntX4fMdqMQgke,234000,0.918,0.647,0.272,1.73e-05,0.0918,-12.906,0.0916,150.044,0.339,5,4,67,7,73813556,3.719783413,274,7/24/2020,7MbT4I8qGntX4fMdqMQgke
folklore,16,hoax,spotify:track:6MWoRt97mnSTXZhu3ggi9C,220042,0.966,0.662,0.181,3.86e-06,0.133,-15.065,0.0415,118.819,0.429,8,4,67,7,65813635,3.316632893,275,7/24/2020,6MWoRt97mnSTXZhu3ggi9C
Lover,1,I Forgot That You Existed,spotify:track:43rA71bccXFGD4C8GOpIlN,170640,0.298,0.664,0.316,2.03e-06,0.0812,-10.345,0.519,92.875,0.541,5,4,73,6,173428759,5.348332004,276,8/23/2019,43rA71bccXFGD4C8GOpIlN
Lover,2,Cruel Summer,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,178426,0.117,0.552,0.702,2.06e-05,0.105,-5.707,0.157,169.994,0.564,9,4,77,6,186707535,5.757833306,277,8/23/2019,1BxfuPKGuaTgP7aM0Bbdwr
Lover,3,Lover,spotify:track:1dGr1c8CrMLDpV6mPbImSI,221306,0.492,0.359,0.543,1.58e-05,0.118,-7.582,0.0919,68.534,0.453,7,4,78,6,391235978,12.06524174,278,8/23/2019,1dGr1c8CrMLDpV6mPbImSI
Lover,4,The Man,spotify:track:3RauEVgRgj1IuWdJ9fDs70,190360,0.0767,0.777,0.658,0,0.0901,-5.191,0.054,110.048,0.633,0,4,76,6,270550873,8.34345988,279,8/23/2019,3RauEVgRgj1IuWdJ9fDs70
Lover,5,The Archer,spotify:track:3pHkh7d0lzM2AldUtz2x37,211240,0.12,0.292,0.574,0.00569,0.0663,-9.375,0.0401,124.344,0.166,0,4,68,6,144037952,4.441955261,280,8/23/2019,3pHkh7d0lzM2AldUtz2x37
Lover,6,I Think He Knows,spotify:track:2YWtcWi3a83pdEg3Gif4Pd,173386,0.00889,0.897,0.366,0.000353,0.0715,-8.029,0.0569,100.003,0.416,0,4,69,6,98036616,3.023330006,281,8/23/2019,2YWtcWi3a83pdEg3Gif4Pd
Lover,7,Miss Americana & The Heartbreak Prince,spotify:track:214nt20w5wOxJnY462klLw,234146,0.028,0.662,0.747,0.00615,0.138,-6.926,0.0736,150.088,0.487,11,4,69,6,99003714,3.053154132,282,8/23/2019,214nt20w5wOxJnY462klLw
Lover,8,Paper Rings,spotify:track:4y5bvROuBDPr5fuwXbIBZR,222400,0.0129,0.811,0.719,1.36e-05,0.0742,-6.553,0.0497,103.979,0.865,9,4,74,6,126961456,3.915336893,283,8/23/2019,4y5bvROuBDPr5fuwXbIBZR
Lover,9,Cornelia Street,spotify:track:12M5uqx0ZuwkpLp5rJim1a,287266,0.781,0.824,0.624,0.000189,0.1,-9.728,0.0827,102.012,0.248,0,4,70,6,99570674,3.070638489,284,8/23/2019,12M5uqx0ZuwkpLp5rJim1a
Lover,10,Death By A Thousand Cuts,spotify:track:2dgFqt3w9xIQRjhPtwNk3D,198533,0.454,0.712,0.732,0,0.319,-6.754,0.0629,94.071,0.313,4,4,70,6,91095260,2.809267029,285,8/23/2019,2dgFqt3w9xIQRjhPtwNk3D
Lover,11,London Boy,spotify:track:1LLXZFeAHK9R4xUramtUKw,190240,0.0246,0.695,0.71,0.000104,0.133,-6.639,0.05,157.925,0.557,1,4,71,6,99618400,3.0721103,286,8/23/2019,1LLXZFeAHK9R4xUramtUKw
Lover,12,Soon You’ll Get Better (feat. The Chicks),spotify:track:4AYtqFyFbX0Xkc2wtcygTr,201586,0.907,0.433,0.182,0,0.123,-12.566,0.0641,207.476,0.421,0,4,65,6,64718569,1.995841957,287,8/23/2019,4AYtqFyFbX0Xkc2wtcygTr
Lover,13,False God,spotify:track:5hQSXkFgbxjZo9uCwd11so,200306,0.736,0.739,0.32,0.000147,0.111,-10.862,0.239,79.97,0.351,11,4,67,6,73363731,2.262448239,288,8/23/2019,5hQSXkFgbxjZo9uCwd11so
Lover,14,You Need To Calm Down,spotify:track:6RRNNciQGZEXnqk8SQ9yv5,171360,0.00929,0.771,0.671,0,0.0637,-5.617,0.0553,85.026,0.714,2,4,80,6,542121942,16.71838136,289,8/23/2019,6RRNNciQGZEXnqk8SQ9yv5
Lover,15,Afterglow,spotify:track:1SymEzIT3H8UZfibCs3TYi,223293,0.13,0.756,0.449,0,0.114,-8.746,0.0344,111.011,0.399,9,4,68,6,89528757,2.760957981,290,8/23/2019,1SymEzIT3H8UZfibCs3TYi
Lover,16,ME! (feat. Brendon Urie of Panic! At The Disco),spotify:track:2Rk4JlNc2TPmZe2af99d45,193000,0.033,0.61,0.83,0,0.118,-4.105,0.0571,182.162,0.728,0,4,78,6,569232011,17.55442292,291,8/23/2019,2Rk4JlNc2TPmZe2af99d45
Lover,17,It’s Nice To Have A Friend,spotify:track:1SmiQ65iSAbPto6gPFlBYm,150440,0.971,0.737,0.175,0.000337,0.171,-9.912,0.0401,70.008,0.545,10,4,64,6,53986753,1.664885804,292,8/23/2019,1SmiQ65iSAbPto6gPFlBYm
Lover,18,Daylight,spotify:track:1fzAuUVbzlhZ1lJAx9PtY6,293453,0.808,0.557,0.496,0.000173,0.0772,-9.602,0.0563,149.983,0.265,0,4,67,6,69471050,2.142402692,293,8/23/2019,1fzAuUVbzlhZ1lJAx9PtY6
reputation,1,...Ready For It?,spotify:track:2yLa0QULdQr0qAIvVwN6B5,208186,0.0527,0.613,0.764,0,0.197,-6.509,0.136,160.015,0.417,2,4,73,5,340836895,11.24191021,294,11/10/2017,2yLa0QULdQr0qAIvVwN6B5
reputation,2,End Game,spotify:track:2x0WlnmfG39ZuDmstl9xfX,244826,0.00845,0.649,0.589,0,0.108,-6.237,0.0558,159.073,0.151,2,4,71,5,260927738,8.606246114,295,11/10/2017,2x0WlnmfG39ZuDmstl9xfX
reputation,3,I Did Something Bad,spotify:track:4svZDCRz4cJoneBpjpx8DJ,238253,0.0679,0.696,0.602,2.11e-05,0.0696,-6.156,0.159,82.989,0.305,0,4,73,5,159768764,5.269693881,296,11/10/2017,4svZDCRz4cJoneBpjpx8DJ
reputation,4,Don’t Blame Me,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,236413,0.106,0.615,0.534,1.76e-05,0.0607,-6.719,0.0386,135.917,0.193,9,4,73,5,123634084,4.077854517,297,11/10/2017,1R0a2iXumgCiFb7HEZ7gUE
reputation,5,Delicate,spotify:track:6NFyWDv5CjfwuzoCkw47Xf,232253,0.216,0.75,0.404,0.000357,0.0911,-10.178,0.0682,95.045,0.0499,9,4,77,5,482782173,15.92372751,298,11/10/2017,6NFyWDv5CjfwuzoCkw47Xf
reputation,6,Look What You Made Me Do,spotify:track:1P17dC1amhFzptugyAO7Il,211853,0.204,0.766,0.709,1.41e-05,0.126,-6.471,0.123,128.07,0.506,9,4,77,5,638712290,21.06681032,299,11/10/2017,1P17dC1amhFzptugyAO7Il
reputation,7,So It Goes...,spotify:track:5PxFv9yJEg9dxvbZggykro,227906,0.122,0.574,0.61,1.1e-06,0.13,-7.283,0.0732,74.957,0.374,2,4,65,5,66012735,2.17731487,300,11/10/2017,5PxFv9yJEg9dxvbZggykro
reputation,8,Gorgeous,spotify:track:1ZY1PqizIl78geGM4xWlEA,209680,0.0713,0.8,0.535,9.48e-06,0.213,-6.684,0.135,92.027,0.451,7,4,71,5,246856395,8.14212742,301,11/10/2017,1ZY1PqizIl78geGM4xWlEA
reputation,9,Getaway Car,spotify:track:0VE4kBnHJUgtMf0dy6DRmW,233626,0.00465,0.562,0.689,2.23e-06,0.0888,-6.745,0.127,172.054,0.351,2,4,75,5,146439247,4.830043023,302,11/10/2017,0VE4kBnHJUgtMf0dy6DRmW
reputation,10,King Of My Heart,spotify:track:7HuBDWi18s4aJM8UFnNheH,214320,0.00882,0.675,0.703,2.21e-06,0.0391,-7.902,0.0382,110.01,0.314,0,4,68,5,83172064,2.743285394,303,11/10/2017,7HuBDWi18s4aJM8UFnNheH
reputation,11,Dancing With Our Hands Tied,spotify:track:7I7JbDv63ZJJsSi24DyJrz,211506,0.0604,0.624,0.691,1.1e-05,0.138,-6.686,0.196,160.024,0.284,0,4,67,5,92766303,3.059734625,304,11/10/2017,7I7JbDv63ZJJsSi24DyJrz
reputation,12,Dress,spotify:track:6oVxXO5oQ4pTpO8RSnkzvv,230373,0.0329,0.719,0.469,0,0.169,-8.792,0.0533,120.085,0.0851,0,4,68,5,81462921,2.686912295,305,11/10/2017,6oVxXO5oQ4pTpO8RSnkzvv
reputation,13,This Is Why We Can't Have Nice Things,spotify:track:07NxDD1iKCHbAldceD7QLP,207133,0.0156,0.567,0.789,0,0.382,-5.986,0.115,163.96,0.438,5,4,68,5,77309836,2.549930033,306,11/10/2017,07NxDD1iKCHbAldceD7QLP
reputation,14,Call It What You Want,spotify:track:1GwMQaZz6Au3QLDbjbMdme,203506,0.186,0.598,0.504,0.000221,0.34,-9.874,0.0731,163.954,0.252,9,4,70,5,161025236,5.311136417,307,11/10/2017,1GwMQaZz6Au3QLDbjbMdme
reputation,15,New Year’s Day,spotify:track:7F5oktn5YOsR9eR5YsFtqb,235466,0.921,0.661,0.151,0,0.13,-12.864,0.0354,94.922,0.23,0,4,66,5,70134781,2.313273365,308,11/10/2017,7F5oktn5YOsR9eR5YsFtqb
1989,1,Welcome To New York,spotify:track:6qnM0XXPZOINWA778uNqQ9,212600,0.038,0.793,0.634,1.76e-06,0.304,-4.807,0.0324,117.023,0.615,7,4,61,4,108157989,4.1794614,374,10/27/2014,6qnM0XXPZOINWA778uNqQ9
1989,2,Blank Space,spotify:track:1p80LdxRV74UKvL8gnD7ky,231826,0.085,0.752,0.678,1.64e-06,0.13,-5.421,0.0646,96.009,0.583,5,4,73,4,562438071,21.73383796,375,10/27/2014,1p80LdxRV74UKvL8gnD7ky
1989,3,Style,spotify:track:4lIxdJw6W3Fg4vUIYCB0S5,231000,0.00256,0.598,0.786,0.00143,0.117,-5.572,0.0382,95.021,0.456,2,4,67,4,239380729,9.250195255,376,10/27/2014,4lIxdJw6W3Fg4vUIYCB0S5
1989,4,Out Of The Woods,spotify:track:5OndtwLGA9O6XHFcGm2H7r,235800,0.00103,0.552,0.841,1.23e-05,0.337,-6.938,0.0372,91.993,0.342,7,4,62,4,124300683,4.803250424,377,10/27/2014,5OndtwLGA9O6XHFcGm2H7r
1989,5,All You Had To Do Was Stay,spotify:track:0dAb8TY433dl3ZfXYCLE19,193293,0.00196,0.602,0.735,4.77e-05,0.105,-5.778,0.0337,96.969,0.472,5,4,59,4,92617946,3.578960129,378,10/27/2014,0dAb8TY433dl3ZfXYCLE19
1989,6,Shake It Off,spotify:track:5xTtaWoae3wi06K5WfVUUH,219200,0.0561,0.648,0.785,0,0.148,-5.414,0.165,160.02,0.943,7,4,72,4,597085647,23.07269613,379,10/27/2014,5xTtaWoae3wi06K5WfVUUH
1989,7,I Wish You Would,spotify:track:3wmN11qXGL0HyPojvEE1D9,207440,0.016,0.649,0.898,9.9e-05,0.109,-5.963,0.0511,118.027,0.503,0,4,52,4,50495014,1.95123785,380,10/27/2014,3wmN11qXGL0HyPojvEE1D9
1989,8,Bad Blood,spotify:track:273dCMFseLcVsoSWx59IoE,211933,0.0871,0.652,0.802,6.45e-06,0.148,-6.114,0.181,170.157,0.295,7,4,64,4,220084172,8.504534062,381,10/27/2014,273dCMFseLcVsoSWx59IoE
1989,9,Wildest Dreams,spotify:track:59HjlYCeBsxdI0fcm3zglw,220440,0.0709,0.553,0.664,0.0056,0.106,-7.417,0.0741,140.06,0.467,8,4,71,4,361604407,13.97318566,382,10/27/2014,59HjlYCeBsxdI0fcm3zglw
1989,10,How You Get The Girl,spotify:track:4dYUOfmWna6DFccnz732n8,247533,0.00463,0.764,0.659,0.00458,0.0915,-6.136,0.0492,119.982,0.525,5,4,54,4,60860842,2.351796129,383,10/27/2014,4dYUOfmWna6DFccnz732n8
1989,11,This Love,spotify:track:3oKMl2tJv4fdidkXUYMI5x,250093,0.635,0.485,0.459,0,0.101,-8.768,0.0337,71.981,0.0858,4,4,51,4,50960227,1.969214698,384,10/27/2014,3oKMl2tJv4fdidkXUYMI5x
1989,12,I Know Places,spotify:track:3jBMHD19RZdAqG9iFQh7xc,195706,0.231,0.595,0.763,0,0.2,-4.991,0.0661,159.959,0.507,0,4,51,4,52718590,2.037161693,385,10/27/2014,3jBMHD19RZdAqG9iFQh7xc
1989,13,Clean,spotify:track:06WgOCf0LV2h4keYXDRnuh,271000,0.242,0.81,0.38,0,0.113,-7.755,0.035,103.981,0.211,4,4,53,4,67140830,2.594468609,386,10/27/2014,06WgOCf0LV2h4keYXDRnuh
Red,1,State Of Grace,spotify:track:786NsUYn4GGUf8AOt0SQhP,295186,0.000197,0.588,0.825,0.00138,0.0885,-5.882,0.0328,129.968,0.397,4,4,50,3,41665928,2.225867391,409,10/22/2012,786NsUYn4GGUf8AOt0SQhP
Red,2,Red,spotify:track:0cITLOYn1Sv4q27zZPqlNK,220826,0.0773,0.602,0.896,8.87e-05,0.091,-4.267,0.0437,124.978,0.641,1,4,62,3,148940190,7.956647747,410,10/22/2012,0cITLOYn1Sv4q27zZPqlNK
Red,3,Treacherous,spotify:track:5kYFVSQoPu7yRpfiHBwMUk,240773,0.101,0.705,0.621,4.3e-06,0.147,-8.086,0.0334,109.993,0.395,2,4,48,3,38667310,2.065675927,411,10/22/2012,5kYFVSQoPu7yRpfiHBwMUk
Red,4,I Knew You Were Trouble.,spotify:track:72jCZdH0Lhg93z6Z4hBjgj,217973,0.00454,0.622,0.469,2.25e-06,0.0398,-6.798,0.0363,77.019,0.679,3,4,67,3,416466042,22.2483508,412,10/22/2012,72jCZdH0Lhg93z6Z4hBjgj
Red,5,All Too Well,spotify:track:4XMP3zVxrnr58T0tjIHvpR,327893,0.0382,0.602,0.609,0.0002,0.127,-7.803,0.0243,93.06,0.337,0,4,55,3,132454926,7.075975856,413,10/22/2012,4XMP3zVxrnr58T0tjIHvpR
Red,6,22,spotify:track:2ULNeSomDxVNmdDy8VxEBU,230133,0.00215,0.658,0.729,0.0013,0.0752,-6.561,0.0378,104.007,0.668,7,4,60,3,216435900,11.56238767,414,10/22/2012,2ULNeSomDxVNmdDy8VxEBU
Red,7,I Almost Do,spotify:track:5VwFkx7JOimOGTYfha5rs1,242573,0.0173,0.567,0.481,4.13e-05,0.182,-7.357,0.027,145.865,0.233,4,4,49,3,43892740,2.344827617,415,10/22/2012,5VwFkx7JOimOGTYfha5rs1
Red,8,We Are Never Ever Getting Back Together,spotify:track:7AEAGTc8cReDqcbPoY9gwo,191880,0.00957,0.628,0.676,2.65e-05,0.102,-5.911,0.0916,85.984,0.75,7,4,65,3,369633361,19.74646634,416,10/22/2012,7AEAGTc8cReDqcbPoY9gwo
Red,9,Stay Stay Stay,spotify:track:1qLeEu4iXEclkLwoBlMiou,204826,0.307,0.729,0.748,1.29e-06,0.09,-6.67,0.0245,99.981,0.928,0,4,48,3,39770027,2.124585014,417,10/22/2012,1qLeEu4iXEclkLwoBlMiou
Red,10,The Last Time,spotify:track:3n9mzjgAzjyKawvbHzciXF,298293,0.035,0.505,0.443,3.15e-06,0.0921,-7.039,0.0276,94.069,0.123,2,4,47,3,46397541,2.478638506,418,10/22/2012,3n9mzjgAzjyKawvbHzciXF
Red,11,Holy Ground,spotify:track:1fGsZsIkQkOspfsT24nQP6,201853,0.0162,0.627,0.816,0.00208,0.0966,-6.698,0.0774,157.043,0.648,4,4,49,3,37578721,2.007521581,419,10/22/2012,1fGsZsIkQkOspfsT24nQP6
Red,12,Sad Beautiful Tragic,spotify:track:6LKjHhOW1az75pCQ9XJJtF,283680,0.632,0.624,0.34,0.0337,0.121,-12.411,0.029,129.987,0.261,7,3,45,3,28078438,1.499999701,420,10/22/2012,6LKjHhOW1az75pCQ9XJJtF
Red,13,The Lucky One,spotify:track:2X2J0BhxaLTmnxO4pPUhSd,240133,0.0371,0.706,0.499,0,0.132,-7.675,0.0369,117.937,0.545,4,4,47,3,29613744,1.582018456,421,10/22/2012,2X2J0BhxaLTmnxO4pPUhSd
Red,14,Everything Has Changed,spotify:track:4NAmRvqSITAAzKWnC8yRq3,243933,0.36,0.624,0.458,3.89e-06,0.303,-6.755,0.0287,80.017,0.436,6,4,60,3,173186462,9.251926378,422,10/22/2012,4NAmRvqSITAAzKWnC8yRq3
Red,15,Starlight,spotify:track:7MecVsMj22MneZt7kVFaCr,217826,0.0213,0.649,0.777,0.000335,0.221,-5.804,0.0406,126.018,0.587,9,4,47,3,30725254,1.641397282,423,10/22/2012,7MecVsMj22MneZt7kVFaCr
Red,16,Begin Again,spotify:track:0L4YCNRfXAoTvdpWeH2RGj,237613,0.199,0.53,0.526,3.52e-06,0.232,-8.349,0.0263,79.025,0.323,7,4,59,3,78389656,4.187713738,424,10/22/2012,0L4YCNRfXAoTvdpWeH2RGj
Speak Now,1,Mine,spotify:track:0dBW6ZsW8skfvoRfgeerBF,230706,0.00265,0.624,0.757,1.87e-06,0.189,-2.94,0.0296,121.07,0.658,7,4,64,2,98246027,10.98861635,461,10/25/2010,0dBW6ZsW8skfvoRfgeerBF
Speak Now,2,Sparks Fly,spotify:track:6d9IiDcFxtFVIvt9pCqyGH,260933,0.0396,0.605,0.787,1.42e-06,0.163,-3.002,0.0308,114.987,0.374,5,4,60,2,70419571,7.876284392,462,10/25/2010,6d9IiDcFxtFVIvt9pCqyGH
Speak Now,3,Back To December,spotify:track:3DrjZArsPsoqbLzUZZV1Id,293026,0.117,0.529,0.67,0,0.334,-4.663,0.0303,141.893,0.286,2,4,63,2,140200220,15.68110667,463,10/25/2010,3DrjZArsPsoqbLzUZZV1Id
